 STN,YYYYMMDD,   RH, EV24
  290,20170101,   38,    1
  290,20170102,    7,    3
  290,20170103,   17,    2
  290,20170104,   40,    3
  290,20170105,    0,    4
  290,20170106,    0,    4
  290,20170107,   27,    1
  290,20170108,    0,    2
  290,20170109,    5,    2
  290,20170110,   42,    2
  290,20170111,   61,    1
  290,20170112,  104,    3
  290,20170113,  200,    4
  290,20170114,   21,    3
  290,20170115,    1,    3
  290,20170116,   -1,    2
  290,20170117,   -1,    1
  290,20170118,    1,    2
  290,20170119,    0,    4
  290,20170120,    0,    4
  290,20170121,    0,    5
  290,20170122,    0,    5
  290,20170123,    0,    2
  290,20170124,    0,    2
  290,20170125,   -1,    4
  290,20170126,    0,    6
  290,20170127,    0,    5
  290,20170128,    8,    5
  290,20170129,    4,    3
  290,20170130,   68,    1
  290,20170131,    0,    2
  290,20170201,    6,    4
  290,20170202,    3,    7
  290,20170203,    8,    3
  290,20170204,   18,    6
  290,20170205,   21,    4
  290,20170206,    0,    3
  290,20170207,   23,    2
  290,20170208,   11,    2
  290,20170209,    0,    2
  290,20170210,    0,    1
  290,20170211,    4,    3
  290,20170212,    2,    7
  290,20170213,    0,    9
  290,20170214,    0,    9
  290,20170215,    0,   11
  290,20170216,    0,    7
  290,20170217,   35,    2
  290,20170218,    0,    8
  290,20170219,    8,    2
  290,20170220,   56,    2
  290,20170221,    2,    8
  290,20170222,  155,    1
  290,20170223,  188,    3
  290,20170224,   11,   10
  290,20170225,   16,    4
  290,20170226,   13,    3
  290,20170227,   33,    4
  290,20170228,   40,    5
  290,20170301,   46,    7
  290,20170302,   86,    4
  290,20170303,    5,    8
  290,20170304,   30,    9
  290,20170305,   33,   10
  290,20170306,    8,    8
  290,20170307,   37,    4
  290,20170308,   91,    2
  290,20170309,    8,    4
  290,20170310,    0,   15
  290,20170311,    0,   15
  290,20170312,    0,   13
  290,20170313,    0,   16
  290,20170314,    0,   16
  290,20170315,    0,   18
  290,20170316,    0,   20
  290,20170317,   34,   12
  290,20170318,   70,    7
  290,20170319,   43,    3
  290,20170320,  133,    4
  290,20170321,   28,   15
  290,20170322,    0,   22
  290,20170323,    0,   17
  290,20170324,    0,   23
  290,20170325,    0,   23
  290,20170326,    0,   21
  290,20170327,    0,   26
  290,20170328,    2,   26
  290,20170329,    6,    7
  290,20170330,    0,   25
  290,20170331,    4,   25
  290,20170401,   15,   11
  290,20170402,    0,   22
  290,20170403,    0,   25
  290,20170404,    0,   25
  290,20170405,   -1,   12
  290,20170406,   -1,   14
  290,20170407,    0,   13
  290,20170408,    0,   14
  290,20170409,    0,   31
  290,20170410,    0,   15
  290,20170411,    0,   15
  290,20170412,   29,    7
  290,20170413,   10,   16
  290,20170414,   -1,    7
  290,20170415,   17,   19
  290,20170416,   24,   15
  290,20170417,   37,   20
  290,20170418,   -1,   17
  290,20170419,    0,   19
  290,20170420,    0,   30
  290,20170421,   12,   13
  290,20170422,   -1,   21
  290,20170423,   10,   17
  290,20170424,   23,   13
  290,20170425,    4,   24
  290,20170426,   -1,   27
  290,20170427,    0,   19
  290,20170428,   43,   15
  290,20170429,    0,   22
  290,20170430,    0,   38
  290,20170501,   18,    7
  290,20170502,   46,   15
  290,20170503,    9,   18
  290,20170504,   13,   17
  290,20170505,    2,    6
  290,20170506,    0,   34
  290,20170507,    0,   19
  290,20170508,   -1,   17
  290,20170509,    0,   22
  290,20170510,    0,   30
  290,20170511,   59,   37
  290,20170512,   74,   23
  290,20170513,   -1,   27
  290,20170514,   -1,   30
  290,20170515,   -1,   45
  290,20170516,    0,   30
  290,20170517,    0,   49
  290,20170518,    6,   13
  290,20170519,   18,   11
  290,20170520,   -1,   33
  290,20170521,    0,   37
  290,20170522,    0,   43
  290,20170523,    0,   38
  290,20170524,    0,   22
  290,20170525,    0,   45
  290,20170526,    0,   52
  290,20170527,    0,   55
  290,20170528,   51,   47
  290,20170529,    1,   44
  290,20170530,   10,   32
  290,20170531,    0,   40
  290,20170601,    0,   49
  290,20170602,    1,   42
  290,20170603,   14,   27
  290,20170604,    5,   24
  290,20170605,    0,   37
  290,20170606,   29,   24
  290,20170607,   63,   20
  290,20170608,    2,   28
  290,20170609,   80,   20
  290,20170610,    0,   39
  290,20170611,    2,   32
  290,20170612,    0,   22
  290,20170613,    0,   22
  290,20170614,    0,   50
  290,20170615,    0,   39
  290,20170616,   -1,   22
  290,20170617,    0,   17
  290,20170618,    0,   53
  290,20170619,    0,   55
  290,20170620,    0,   46
  290,20170621,    0,   51
  290,20170622,    4,   48
  290,20170623,    0,   35
  290,20170624,   26,   10
  290,20170625,   32,   13
  290,20170626,   20,   39
  290,20170627,   29,   27
  290,20170628,   76,   18
  290,20170629,   53,   14
  290,20170630,  186,   22
  290,20170701,   39,   15
  290,20170702,   10,   27
  290,20170703,   -1,   36
  290,20170704,    0,   46
  290,20170705,    0,   37
  290,20170706,   -1,   49
  290,20170707,  122,   38
  290,20170708,    0,   30
  290,20170709,    0,   42
  290,20170710,   42,   25
  290,20170711,   22,   20
  290,20170712,  344,   12
  290,20170713,    0,   31
  290,20170714,   43,   23
  290,20170715,   -1,   27
  290,20170716,   54,   13
  290,20170717,    1,   49
  290,20170718,    0,   49
  290,20170719,   19,   42
  290,20170720,   80,   28
  290,20170721,    0,   44
  290,20170722,  112,   40
  290,20170723,   63,   29
  290,20170724,   56,   19
  290,20170725,   60,   12
  290,20170726,   -1,   36
  290,20170727,    3,   27
  290,20170728,    2,   25
  290,20170729,    3,   19
  290,20170730,    3,   30
  290,20170731,    0,   42
  290,20170801,    0,   22
  290,20170802,    9,   26
  290,20170803,   18,   28
  290,20170804,    2,   25
  290,20170805,    9,   18
  290,20170806,   -1,   28
  290,20170807,    0,   39
  290,20170808,   14,   17
  290,20170809,    0,   28
  290,20170810,    7,   25
  290,20170811,   34,   11
  290,20170812,   93,   12
  290,20170813,   -1,   27
  290,20170814,    0,   37
  290,20170815,  316,   20
  290,20170816,    0,   33
  290,20170817,   47,   11
  290,20170818,   91,   14
  290,20170819,   36,   20
  290,20170820,   -1,   24
  290,20170821,    0,   24
  290,20170822,    0,   27
  290,20170823,    0,   35
  290,20170824,    0,   19
  290,20170825,    0,   32
  290,20170826,    0,   30
  290,20170827,    0,   33
  290,20170828,    0,   34
  290,20170829,    0,   35
  290,20170830,  135,   16
  290,20170831,   30,   17
  290,20170901,    5,   22
  290,20170902,    1,   26
  290,20170903,    0,   26
  290,20170904,    0,   29
  290,20170905,   62,   15
  290,20170906,   45,   15
  290,20170907,    3,   19
  290,20170908,  202,    5
  290,20170909,   83,   19
  290,20170910,   -1,   23
  290,20170911,   15,   19
  290,20170912,   11,   20
  290,20170913,  120,   19
  290,20170914,   72,   11
  290,20170915,   20,   19
  290,20170916,   -1,   12
  290,20170917,   29,   19
  290,20170918,  108,    8
  290,20170919,    1,   12
  290,20170920,    1,   12
  290,20170921,    0,   22
  290,20170922,   24,   17
  290,20170923,    0,   23
  290,20170924,    0,   21
  290,20170925,    0,   13
  290,20170926,   -1,   14
  290,20170927,    0,   17
  290,20170928,    6,    9
  290,20170929,   85,   16
  290,20170930,  146,    3
  290,20171001,    0,   19
  290,20171002,   16,   12
  290,20171003,    6,   15
  290,20171004,    4,    7
  290,20171005,  134,   11
  290,20171006,   26,   10
  290,20171007,   95,    3
  290,20171008,   18,   12
  290,20171009,    8,    9
  290,20171010,   16,    5
  290,20171011,    7,    5
  290,20171012,   -1,   12
  290,20171013,    0,   12
  290,20171014,    0,   17
  290,20171015,    0,   17
  290,20171016,    0,   16
  290,20171017,    0,    8
  290,20171018,    0,   14
  290,20171019,    0,   13
  290,20171020,   49,    7
  290,20171021,   14,    5
  290,20171022,   66,    6
  290,20171023,    1,    5
  290,20171024,   15,    3
