Date	Precipitation_mm_d	Evaporation_mm_d
20170101	3.8	0.1
20170102	0.7	0.3
20170103	1.7	0.2
20170104	4	0.3
20170105	0	0.4
20170106	0	0.4
20170107	2.7	0.1
20170108	0	0.2
20170109	0.5	0.2
20170110	4.2	0.2
20170111	6.1	0.1
20170112	10.4	0.3
20170113	20	0.4
20170114	2.1	0.3
20170115	0.1	0.3
20170116	0	0.2
20170117	0	0.1
20170118	0.1	0.2
20170119	0	0.4
20170120	0	0.4
20170121	0	0.5
20170122	0	0.5
20170123	0	0.2
20170124	0	0.2
20170125	0	0.4
20170126	0	0.6
20170127	0	0.5
20170128	0.8	0.5
20170129	0.4	0.3
20170130	6.8	0.1
20170131	0	0.2
20170201	0.6	0.4
20170202	0.3	0.7
20170203	0.8	0.3
20170204	1.8	0.6
20170205	2.1	0.4
20170206	0	0.3
20170207	2.3	0.2
20170208	1.1	0.2
20170209	0	0.2
20170210	0	0.1
20170211	0.4	0.3
20170212	0.2	0.7
20170213	0	0.9
20170214	0	0.9
20170215	0	1.1
20170216	0	0.7
20170217	3.5	0.2
20170218	0	0.8
20170219	0.8	0.2
20170220	5.6	0.2
20170221	0.2	0.8
20170222	15.5	0.1
20170223	18.8	0.3
20170224	1.1	1
20170225	1.6	0.4
20170226	1.3	0.3
20170227	3.3	0.4
20170228	4	0.5
20170301	4.6	0.7
20170302	8.6	0.4
20170303	0.5	0.8
20170304	3	0.9
20170305	3.3	1
20170306	0.8	0.8
20170307	3.7	0.4
20170308	9.1	0.2
20170309	0.8	0.4
20170310	0	1.5
20170311	0	1.5
20170312	0	1.3
20170313	0	1.6
20170314	0	1.6
20170315	0	1.8
20170316	0	2
20170317	3.4	1.2
20170318	7	0.7
20170319	4.3	0.3
20170320	13.3	0.4
20170321	2.8	1.5
20170322	0	2.2
20170323	0	1.7
20170324	0	2.3
20170325	0	2.3
20170326	0	2.1
20170327	0	2.6
20170328	0.2	2.6
20170329	0.6	0.7
20170330	0	2.5
20170331	0.4	2.5
20170401	1.5	1.1
20170402	0	2.2
20170403	0	2.5
20170404	0	2.5
20170405	0	1.2
20170406	0	1.4
20170407	0	1.3
20170408	0	1.4
20170409	0	3.1
20170410	0	1.5
20170411	0	1.5
20170412	2.9	0.7
20170413	1	1.6
20170414	0	0.7
20170415	1.7	1.9
20170416	2.4	1.5
20170417	3.7	2
20170418	0	1.7
20170419	0	1.9
20170420	0	3
20170421	1.2	1.3
20170422	0	2.1
20170423	1	1.7
20170424	2.3	1.3
20170425	0.4	2.4
20170426	0	2.7
20170427	0	1.9
20170428	4.3	1.5
20170429	0	2.2
20170430	0	3.8
20170501	1.8	0.7
20170502	4.6	1.5
20170503	0.9	1.8
20170504	1.3	1.7
20170505	0.2	0.6
20170506	0	3.4
20170507	0	1.9
20170508	0	1.7
20170509	0	2.2
20170510	0	3
20170511	5.9	3.7
20170512	7.4	2.3
20170513	0	2.7
20170514	0	3
20170515	0	4.5
20170516	0	3
20170517	0	4.9
20170518	0.6	1.3
20170519	1.8	1.1
20170520	0	3.3
20170521	0	3.7
20170522	0	4.3
20170523	0	3.8
20170524	0	2.2
20170525	0	4.5
20170526	0	5.2
20170527	0	5.5
20170528	5.1	4.7
20170529	0.1	4.4
20170530	1	3.2
20170531	0	4
20170601	0	4.9
20170602	0.1	4.2
20170603	1.4	2.7
20170604	0.5	2.4
20170605	0	3.7
20170606	2.9	2.4
20170607	6.3	2
20170608	0.2	2.8
20170609	8	2
20170610	0	3.9
20170611	0.2	3.2
20170612	0	2.2
20170613	0	2.2
20170614	0	5
20170615	0	3.9
20170616	0	2.2
20170617	0	1.7
20170618	0	5.3
20170619	0	5.5
20170620	0	4.6
20170621	0	5.1
20170622	0.4	4.8
20170623	0	3.5
20170624	2.6	1
20170625	3.2	1.3
20170626	2	3.9
20170627	2.9	2.7
20170628	7.6	1.8
20170629	5.3	1.4
20170630	18.6	2.2
20170701	3.9	1.5
20170702	1	2.7
20170703	0	3.6
20170704	0	4.6
20170705	0	3.7
20170706	0	4.9
20170707	12.2	3.8
20170708	0	3
20170709	0	4.2
20170710	4.2	2.5
20170711	2.2	2
20170712	34.4	1.2
20170713	0	3.1
20170714	4.3	2.3
20170715	0	2.7
20170716	5.4	1.3
20170717	0.1	4.9
20170718	0	4.9
20170719	1.9	4.2
20170720	8	2.8
20170721	0	4.4
20170722	11.2	4
20170723	6.3	2.9
20170724	5.6	1.9
20170725	6	1.2
20170726	0	3.6
20170727	0.3	2.7
20170728	0.2	2.5
20170729	0.3	1.9
20170730	0.3	3
20170731	0	4.2
20170801	0	2.2
20170802	0.9	2.6
20170803	1.8	2.8
20170804	0.2	2.5
20170805	0.9	1.8
20170806	0	2.8
20170807	0	3.9
20170808	1.4	1.7
20170809	0	2.8
20170810	0.7	2.5
20170811	3.4	1.1
20170812	9.3	1.2
20170813	0	2.7
20170814	0	3.7
20170815	31.6	2
20170816	0	3.3
20170817	4.7	1.1
20170818	9.1	1.4
20170819	3.6	2
20170820	0	2.4
20170821	0	2.4
20170822	0	2.7
20170823	0	3.5
20170824	0	1.9
20170825	0	3.2
20170826	0	3
20170827	0	3.3
20170828	0	3.4
20170829	0	3.5
20170830	13.5	1.6
20170831	3	1.7
20170901	0.5	2.2
20170902	0.1	2.6
20170903	0	2.6
