"","time","ppn cm/d","eref cm/d","uns1.Qroot","uns1.Qsto","uns1.Rch","uns1.State","uns2.Qroot","uns2.Qsto","uns2.Rch","uns2.State","uns3.Qroot","uns3.Qsto","uns3.Rch","uns3.state","Qsat.inf/seepg","Qsat.drainage","Qsat.recharge","Qsat.storage","Qsat.BC"
"1",1,0.38,0.01,-0.00831508418388389,-0.220578042025065,-0.142228859755791,25.9985860737905,-0.0100408783308862,-0.275981651333909,-0.0937970455797311,28.9636677643796,-0.00863940408065612,-0.289272638389369,-0.0826968749291715,32.0740772941027,0.92150392617839,-1.7565367062992,3.98449899252538,0.084562709192231,-2.30969400666852
"2",2,0.07,0.03,-0.0249424313153977,0.0903604967674584,-0.145139567408381,26.0045891029667,-0.0301226349926585,0.0508393065425032,-0.0927116470936666,28.9626723273781,-0.0259182122419684,0.0382247751382113,-0.0826862760794625,32.0733401615024,0.920249406421367,-1.77053619340978,4.00107865596387,0.098477420441692,-2.32644831299793
"3",3,0.17,0.02,-0.0166287604181755,-0.00941535477851379,-0.142452670782086,26.0104286939793,-0.0200817566617723,-0.0523984429732203,-0.0920361959337563,28.9619333593381,-0.0172788081613122,-0.0692239903714078,-0.0825927340829166,32.0726002762447,0.919218501157829,-1.78213955021433,3.966877781965,0.152647783731715,-2.33660923669195
"4",4,0.4,0.03,-0.0248944622379598,-0.176290674243835,-0.190823369140116,26.0154276960386,-0.0301226349926585,-0.270638114131639,-0.091618528242333,28.9612968702091,-0.0259182122419684,-0.291845721569772,-0.0824878485086363,32.0718535863546,0.916537890420851,-1.81319050209456,4.42010431042235,-0.215944511673315,-2.38955417723282
"5",5,0,0.04,-0.0332306613386845,0.188381243245444,-0.159217147704403,26.0274396265286,-0.0401635133235447,0.127521125901501,-0.0916248630602242,28.9617290119106,-0.0345576163226245,0.11499580933575,-0.0823866003753674,32.0710893516252,0.915554961464601,-1.82757894040682,4.11781210395355,0.0999638287680919,-2.38665644197402
"6",6,0,0.04,-0.0332980756317612,0.129375517317232,-0.105054403406462,26.0334424437531,-0.0401635133235447,0.129968527518653,-0.0920137739123142,28.96189572049,-0.0345576163226245,0.116512226077225,-0.0822869220239971,32.0703297201763,0.916250679280983,-1.8200182123633,3.60507671207269,0.551779095990476,-2.34973129619594
"7",7,0.27,0.01,-0.00831847504231514,-0.138743845421272,-0.122423469674559,26.0313457343088,-0.0100408783308862,-0.167577304732461,-0.0927686494717052,28.9613142067417,-0.00863940408065612,-0.179703413204176,-0.0821933496973634,32.0695656585957,0.91601421911151,-1.81997457816558,3.77572725958679,0.391479481280471,-2.35528446614268
"8",8,0,0.02,-0.0166497812560568,0.116104605666435,-0.103253142537874,26.0317739891808,-0.0200817566617723,0.109664128284107,-0.0937120225902992,28.9609299123226,-0.0172788081613122,0.0990701896663051,-0.0821054024702951,32.0687958539712,0.916456184379375,-1.81282937719752,3.60122980687088,0.536806889557438,-2.33805201009024
"9",9,0.05,0.02,-0.0166625086646664,0.0374193277473545,-0.0844483345358472,26.0294426186036,-0.0200817566617723,0.0611964484850399,-0.0946640067084744,28.9604124426472,-0.0172788081613122,0.0483314314532482,-0.0820224617094075,32.0680229566578,0.917335147397206,-1.79940684872857,3.43039377964698,0.666643770519594,-2.31516710688417
"10",10,0.42,0.02,-0.0166243210261908,-0.255076566180475,-0.143219452312619,26.0246577374383,-0.0200817566617723,-0.306641172786716,-0.0958009262951251,28.9596513733725,-0.0172788081613122,-0.321437287901682,-0.0819436387355131,32.0672471669405,0.916082829338448,-1.81018781591706,3.998515332646,0.166051934978473,-2.35430824936796
"11",11,0.61,0.01,-0.00826900848631624,-0.313611435082419,-0.278147915872145,26.0284799730003,-0.0100408783308862,-0.495627978670673,-0.0970168143518141,28.9599235059638,-0.00863940408065612,-0.520683622765488,-0.0818693009371563,32.066467146698,0.910276295181831,-1.88426425563836,5.29106459236606,-0.916511805221267,-2.48664747858661
"12",12,1.04,0.03,-0.0245700737918235,-0.484957863161395,-0.516296713950739,26.053075540751,-0.0177006043783363,-0.915304195606034,-0.0992351676169967,28.963749068585,-0.0259182122419684,-0.932612336062435,-0.0818000684295334,32.0656765158835,0.895897579121693,-2.08849743340732,7.574408159201,-2.70552745045317,-2.76929595196341
"13",13,2,0.04,-0.0319371776637382,-0.883967923409908,-1.06372182701675,26.1174492116061,-0.00186326600368902,-1.72014635794006,-0.114309718875841,28.9762450766011,-0.0345576163226245,-1.88413206444205,-0.0817323031776409,32.064890551326,0.854828997143096,-2.70673920282886,12.924709294405,-6.70634877805574,-3.47647510694171
"14",14,0.21,0.03,-0.02414170972171,0.668740269323875,-0.875576588679582,26.2951178474335,-0.00272563028549981,-0.0674020587499852,-0.155369507406981,29.0257967848495,-0.0259182122419684,-0.103350714089341,-0.0816619392272985,32.0641421797745,0.837119542460354,-3.10228254346025,11.5464643042574,-4.8090203034501,-3.6107657031694
"15",15,0.01,0.03,-0.0244334127210279,0.548674051845786,-0.548755458544361,26.4020726265621,-0.0227066838299228,0.218571355897963,-0.217338265668322,29.0813691722364,-0.0259182122419684,0.0967891340599127,-0.0815841065093085,32.0634853091021,0.83625139187994,-3.25660424142181,9.05969555801023,-2.31506631910306,-3.47572710351025
"16",16,0,0.02,-0.0164355365158734,0.330777960407171,-0.323822593219648,26.438476074497,-0.0194229164423116,0.280439729181573,-0.270211484753949,29.1368229838356,-0.0172788081613122,0.0975579017136387,-0.0814985605375737,32.0629653841526,0.845118199653916,-3.28444711324977,7.44979686608531,-0.863980809919638,-3.29533591898133
