"pF" "psi" "theta" "k"
"1" 0 1 0.459809162695404 1.59488387887614
"2" 0.1 1.25892541179417 0.459736664650912 1.53955809625439
"3" 0.2 1.58489319246111 0.459636673940283 1.4801446169106
"4" 0.3 1.99526231496888 0.459498808961888 1.41651670302258
"5" 0.4 2.51188643150958 0.459308807620992 1.34859344638371
"6" 0.5 3.16227766016838 0.459047112520379 1.27635643803486
"7" 0.6 3.98107170553497 0.45868697223493 1.19987014163414
"8" 0.7 5.01187233627272 0.458191921772394 1.11930627915267
"9" 0.8 6.30957344480193 0.457512492894257 1.03497220482777
"10" 0.9 7.94328234724282 0.456582018978539 0.947342600760567
"11" 1 10 0.455311470785201 0.85709271169793
"12" 1.1 12.5892541179417 0.453583441285995 0.765129559288831
"13" 1.2 15.8489319246111 0.451245767551935 0.672614995950523
"14" 1.3 19.9526231496888 0.448105929274728 0.580971156048334
"15" 1.4 25.1188643150958 0.443928358868842 0.491855474220444
"16" 1.5 31.6227766016838 0.438438046140725 0.407090633821772
"17" 1.6 39.8107170553497 0.43133486221604 0.3285376138764
"18" 1.7 50.1187233627273 0.422322817886207 0.257911237984778
"19" 1.8 63.0957344480193 0.411155500472094 0.196559257233855
"20" 1.9 79.4328234724282 0.397692241087669 0.145253296664792
"21" 2 100 0.381950722960373 0.104058124401195
"22" 2.1 125.892541179417 0.364136098397494 0.0723353103650772
"23" 2.2 158.489319246111 0.344630729821005 0.0488919916967113
"24" 2.3 199.526231496888 0.323943446094302 0.0322263364626601
"25" 2.4 251.188643150958 0.302634532034718 0.0207861835621417
"26" 2.5 316.227766016838 0.281241061006260 0.0131674533667995
"27" 2.6 398.107170553497 0.260222349185479 0.0082204296443165
"28" 2.7 501.187233627272 0.239932990383662 0.00507334013066722
"29" 2.8 630.957344480194 0.220619909315461 0.00310338919341706
"30" 2.9 794.328234724282 0.202434725676276 0.00188558492140269
"31" 3 1000 0.185452829354148 0.00113986630452563
"32" 3.1 1258.92541179417 0.169693165016879 0.000686473181406175
"33" 3.2 1584.89319246111 0.155135553680822 0.000412271289839417
"34" 3.3 1995.26231496888 0.141734433965416 0.00024708894175167
"35" 3.4 2511.88643150958 0.129429066961075 0.000147867429063831
"36" 3.5 3162.27766016838 0.118150753272920 8.83927244720013e-05
"37" 3.6 3981.07170553497 0.107827734864896 5.27976197790091e-05
"38" 3.7 5011.87233627273 0.0983883988324699 3.15181251764140e-05
"39" 3.8 6309.57344480194 0.0897632823689064 1.88071707232221e-05
"40" 3.9 7943.28234724282 0.0818862554302738 1.12189896529894e-05
"41" 4 10000 0.0746951527647906 6.69094819620131e-06
"42" 4.1 12589.2541179417 0.0681320455527369 3.98980529522517e-06
"43" 4.2 15848.9319246111 0.0621432830414577 2.37883910556013e-06
